Número de entradas,Inicializador de pesos,Taxa de aprendizado,Função de ativacao,Limiar,Ciclos executados,Épocas executadas,Melhores pesos,Acurácia
2,zeros,0.5,step,1,6,24,[-1.   1.   0.5],1.0
2,zeros,0.5,sigmoid,1,300,1200,[-9.89722899  6.51632077  6.49606681],0.0
2,zeros,0.5,tanh,1,300,1200,[-0.51004426  1.02008852  0.78509868],0.0
2,zeros,0.5,relu,1,300,1200,[-1.  1.  1.],0.25
2,zeros,0.5,softmax,1,300,1200,[-450. -150. -150.],0.25
2,uns,0.5,step,1,2,8,[-0.5  0.5  0.5],1.0
2,uns,0.5,sigmoid,1,300,1200,[-9.91153571  6.52571875  6.50555935],0.0
2,uns,0.5,tanh,1,300,1200,[-0.51004426  1.02008852  0.78509868],0.0
2,uns,0.5,relu,1,300,1200,[-1.  1.  1.],0.25
2,uns,0.5,softmax,1,300,1200,[-449. -149. -149.],0.25
2,aleatorios,0.5,step,1,5,20,[-1.13572817  0.98804697  0.25201942],1.0
2,aleatorios,0.5,sigmoid,1,300,1200,[-9.90572332  6.52190069  6.50170266],0.0
2,aleatorios,0.5,tanh,1,300,1200,[-0.51004426  1.02008852  0.78509868],0.0
2,aleatorios,0.5,relu,1,300,1200,[-1.  1.  1.],0.25
2,aleatorios,0.5,softmax,1,300,1200,[-449.91042431 -149.08298682 -149.00778457],0.25
2,aleatorios_uniformes,0.5,step,1,6,24,[-1.45516375  1.11992118  0.75298128],1.0
2,aleatorios_uniformes,0.5,sigmoid,1,300,1200,[-9.90982475  6.52459416  6.50442477],0.0
2,aleatorios_uniformes,0.5,tanh,1,300,1200,[-0.51004426  1.02008852  0.78509868],0.0
2,aleatorios_uniformes,0.5,relu,1,300,1200,[-1.  1.  1.],0.25
2,aleatorios_uniformes,0.5,softmax,1,300,1200,[-449.5868489  -149.59960683 -149.49284328],0.25
2,aleatorios_normal,0.5,step,1,7,28,[-0.97019109  0.93556965  0.30760684],1.0
2,aleatorios_normal,0.5,sigmoid,1,300,1200,[-9.97438229  6.56701626  6.54725371],0.0
2,aleatorios_normal,0.5,tanh,1,300,1200,[-0.51004426  1.02008852  0.78509868],0.0
2,aleatorios_normal,0.5,relu,1,300,1200,[-1.  1.  1.],0.25
2,aleatorios_normal,0.5,softmax,1,300,1200,[-449.49591358 -150.21773364 -149.43839429],0.25
2,zeros,0.1,step,1,6,24,[-0.2  0.2  0.1],1.0
2,zeros,0.1,sigmoid,1,300,1200,[-5.25572281  3.39393243  3.37756094],0.0
2,zeros,0.1,tanh,1,300,1200,[-0.32291327  0.64582668  0.61461279],0.0
2,zeros,0.1,relu,1,300,1200,[-0.99664199  0.9978464   0.99771341],0.25
2,zeros,0.1,softmax,1,300,1200,[-90. -30. -30.],0.25
2,uns,0.1,step,1,7,28,[-0.6  0.4  0.4],1.0
2,uns,0.1,sigmoid,1,300,1200,[-5.31564929  3.43405973  3.41793496],0.0
2,uns,0.1,tanh,1,300,1200,[-0.32291336  0.64582676  0.61461287],0.0
2,uns,0.1,relu,1,300,1200,[-0.99742187  0.99834656  0.99824445],0.25
2,uns,0.1,softmax,1,300,1200,[-89. -29. -29.],0.25
2,aleatorios,0.1,step,1,9,36,[-0.37800443  0.18270409  0.22661717],1.0
2,aleatorios,0.1,sigmoid,1,300,1200,[-5.31175401  3.43113025  3.41563439],0.0
2,aleatorios,0.1,tanh,1,300,1200,[-0.3229133   0.64582671  0.61461282],0.0
2,aleatorios,0.1,relu,1,300,1200,[-0.99780158  0.99859009  0.99850302],0.25
2,aleatorios,0.1,softmax,1,300,1200,[-89.72673633 -29.50311974 -29.04044139],0.25
2,aleatorios_uniformes,0.1,step,1,6,24,[-0.59149928  0.31772727  0.43311505],1.0
2,aleatorios_uniformes,0.1,sigmoid,1,300,1200,[-5.27518136  3.40605292  3.39158773],0.0
2,aleatorios_uniformes,0.1,tanh,1,300,1200,[-0.32291327  0.64582668  0.6146128 ],0.0
2,aleatorios_uniformes,0.1,relu,1,300,1200,[-0.996842    0.99797467  0.9978496 ],0.25
2,aleatorios_uniformes,0.1,softmax,1,300,1200,[-89.2944352  -29.71671518 -29.76729061],0.25
2,aleatorios_normal,0.1,step,1,5,20,[-0.18106703  0.09265665  0.16967658],1.0
2,aleatorios_normal,0.1,sigmoid,1,300,1200,[-5.37278122  3.4712909   3.45743048],0.0
2,aleatorios_normal,0.1,tanh,1,300,1200,[-0.32291326  0.64582667  0.61461279],0.0
2,aleatorios_normal,0.1,relu,1,300,1200,[-0.99784466  0.99861771  0.99853235],0.25
2,aleatorios_normal,0.1,softmax,1,300,1200,[-91.01769795 -30.11838186 -28.85764347],0.25
2,zeros,0.001,step,1,6,24,[-0.002  0.002  0.001],1.0
2,zeros,0.001,sigmoid,1,300,1200,[-0.26099458  0.01911345  0.01907986],0.0
2,zeros,0.001,tanh,1,300,1200,[0.0971515  0.1700181  0.16997412],0.0
2,zeros,0.001,relu,1,300,1200,[0.09445053 0.16742159 0.16737554],0.0
2,zeros,0.001,softmax,1,300,1200,[-0.9 -0.3 -0.3],0.25
