Número de entradas,Inicializador de pesos,Taxa de aprendizado,Função de ativacao,Limiar,Ciclos executados,Épocas executadas,Melhores pesos,Acurácia
2,zeros,0.5,step,1,4,16,[0.  0.5 0.5],1.0
2,zeros,0.5,sigmoid,1,300,1200,[-3.34871886  7.64607206  7.65878528],0.0
2,zeros,0.5,tanh,1,300,1200,[0.00690895 3.17509922 3.18356249],0.0
2,zeros,0.5,relu,1,300,1200,[0.5  0.   0.25],0.0
2,zeros,0.5,softmax,1,300,1200,[-150.    0.    0.],0.75
2,uns,0.5,step,1,3,12,[0. 1. 1.],1.0
2,uns,0.5,sigmoid,1,300,1200,[-3.35858893  7.66557537  7.67800692],0.0
2,uns,0.5,tanh,1,300,1200,[0.00679384 3.18452804 3.19096397],0.0
2,uns,0.5,relu,1,300,1200,[5.00000000e-01 5.55111512e-17 2.50000000e-01],0.0
2,uns,0.5,softmax,1,300,1200,[-149.    1.    1.],0.75
2,aleatorios,0.5,step,1,2,8,[-0.02737885  0.22935422  0.27151932],1.0
2,aleatorios,0.5,sigmoid,1,300,1200,[-3.35165906  7.6517351   7.6646599 ],0.0
2,aleatorios,0.5,tanh,1,300,1200,[0.00684544 3.18115942 3.18674187],0.0
2,aleatorios,0.5,relu,1,300,1200,[5.00000000e-01 5.55111512e-17 2.50000000e-01],0.0
2,aleatorios,0.5,softmax,1,300,1200,[-149.0601146     0.27902355    0.74911783],0.75
2,aleatorios_uniformes,0.5,step,1,3,12,[-0.22443643  0.55051434  0.38780077],1.0
2,aleatorios_uniformes,0.5,sigmoid,1,300,1200,[-3.35156571  7.65134622  7.66468635],0.0
2,aleatorios_uniformes,0.5,tanh,1,300,1200,[0.00692432 3.17478444 3.18163711],0.0
2,aleatorios_uniformes,0.5,relu,1,300,1200,[0.5  0.   0.25],0.0
2,aleatorios_uniformes,0.5,softmax,1,300,1200,[-149.88707449    0.23079257    0.37761362],0.75
2,aleatorios_normal,0.5,step,1,2,8,[-0.61684765  1.57804237  1.09871939],1.0
2,aleatorios_normal,0.5,sigmoid,1,300,1200,[-3.35857496  7.66578308  7.67774036],0.0
2,aleatorios_normal,0.5,tanh,1,300,1200,[0.00705821 3.16422659 3.17300855],0.0
2,aleatorios_normal,0.5,relu,1,300,1200,[ 5.00000000e-01 -5.55111512e-17  2.50000000e-01],0.0
2,aleatorios_normal,0.5,softmax,1,300,1200,[-150.44629736    0.65698468   -0.89318479],0.75
2,zeros,0.1,step,1,4,16,[0.  0.1 0.1],1.0
2,zeros,0.1,sigmoid,1,300,1200,[-1.65367034  4.36625101  4.37571579],0.0
2,zeros,0.1,tanh,1,300,1200,[0.03963195 2.2846605  2.2901393 ],0.0
2,zeros,0.1,relu,1,300,1200,[0.27777778 0.44444444 0.47222222],0.0
2,zeros,0.1,softmax,1,300,1200,[-30.   0.   0.],0.75
2,uns,0.1,step,1,12,48,[-0.1  1.   1. ],1.0
2,uns,0.1,sigmoid,1,300,1200,[-1.69988146  4.45236234  4.46084452],0.0
2,uns,0.1,tanh,1,300,1200,[0.03625373 2.3318631  2.3354725 ],0.0
2,uns,0.1,relu,1,300,1200,[0.27777778 0.44444444 0.47222222],0.0
2,uns,0.1,softmax,1,300,1200,[-29.   1.   1.],0.75
2,aleatorios,0.1,step,1,8,32,[-0.02895733  0.21172019  0.46002548],1.0
2,aleatorios,0.1,sigmoid,1,300,1200,[-1.67088343  4.39954134  4.40612053],0.0
2,aleatorios,0.1,tanh,1,300,1200,[0.04012589 2.27554144 2.28641267],0.0
2,aleatorios,0.1,relu,1,300,1200,[0.27777778 0.44444444 0.47222222],0.0
2,aleatorios,0.1,softmax,1,300,1200,[-29.5027762    0.12551273   0.49801865],0.75
2,aleatorios_uniformes,0.1,step,1,11,44,[-0.05126672  0.98890503  0.80544009],1.0
2,aleatorios_uniformes,0.1,sigmoid,1,300,1200,[-1.69818932  4.45188571  4.45501861],0.0
2,aleatorios_uniformes,0.1,tanh,1,300,1200,[0.03741068 2.30719122 2.32776414],0.0
2,aleatorios_uniformes,0.1,relu,1,300,1200,[0.27777778 0.44444444 0.47222222],0.0
2,aleatorios_uniformes,0.1,softmax,1,300,1200,[-29.24067606   0.13616857   0.79794066],0.75
2,aleatorios_normal,0.1,step,1,1,4,[-0.50819028  1.25082683  1.05863065],1.0
2,aleatorios_normal,0.1,sigmoid,1,300,1200,[-1.61605452  4.3168654   4.28654607],0.0
2,aleatorios_normal,0.1,tanh,1,300,1200,[0.0419157  2.25930471 2.25711731],0.0
2,aleatorios_normal,0.1,relu,1,300,1200,[0.27777778 0.44444444 0.47222222],0.0
2,aleatorios_normal,0.1,softmax,1,300,1200,[-28.55839286   0.47401659   0.48597814],0.75
2,zeros,0.001,step,1,4,16,[0.    0.001 0.001],1.0
2,zeros,0.001,sigmoid,1,300,1200,[0.22413248 0.25234888 0.2523798 ],0.0
2,zeros,0.001,tanh,1,300,1200,[0.41624517 0.315644   0.31577307],0.0
2,zeros,0.001,relu,1,300,1200,[0.38003823 0.28549043 0.28563352],0.0
2,zeros,0.001,softmax,1,300,1200,[-0.3  0.   0. ],0.75
2,uns,0.001,step,1,300,1200,[0.7 1.  1. ],0.75
2,uns,0.001,sigmoid,1,300,1200,[0.87303325 1.05144664 1.05145059],0.0
2,uns,0.001,tanh,1,300,1200,[0.81253966 1.01469835 1.01469944],0.0
2,uns,0.001,relu,1,300,1200,[0.33423344 0.59586778 0.59579519],0.0
2,uns,0.001,softmax,1,300,1200,[0.7 1.  1. ],0.75
2,aleatorios,0.001,step,1,300,1200,[0.42328644 0.89161833 0.76584614],0.75
2,aleatorios,0.001,sigmoid,1,300,1200,[0.38341113 0.39872769 1.09900227],0.0
2,aleatorios,0.001,tanh,1,300,1200,[0.37946711 0.8429522  0.67258379],0.0
2,aleatorios,0.001,relu,1,300,1200,[0.14245343 0.67624831 0.67987327],0.0
2,aleatorios,0.001,softmax,1,300,1200,[-0.26049778  0.27668569  0.65576705],0.75
2,aleatorios_uniformes,0.001,step,1,300,1200,[0.12770095 0.72482302 0.28288179],0.75
2,aleatorios_uniformes,0.001,sigmoid,1,300,1200,[0.65563247 0.38808796 0.18085817],0.0
2,aleatorios_uniformes,0.001,tanh,1,300,1200,[0.32295216 0.65341762 0.72354405],0.0
2,aleatorios_uniformes,0.001,relu,1,300,1200,[0.1247742  0.59128982 0.61931748],0.0
